_id,geometry,locality,placeName,placeNameId
5b418dfb3d88413b6ca9e03a,"{""type"": ""MultiPoint"", ""coordinates"": [[172.633988925503, -43.5237505877897]]}",Central City,Aldred Reserve,580
5b418dfb3d88413b6ca9e052,"{""type"": ""MultiPoint"", ""coordinates"": [[172.59398709325197, -43.5577485968478]]}",Hoon Hay,Hillmorton High School,607
5b418dfb3d88413b6ca9e066,"{""type"": ""MultiPoint"", ""coordinates"": [[172.618921516976, -43.5484889372657]]}",Spreydon,Addington School,628
5b418dfb3d88413b6ca9e000,"{""type"": ""MultiPoint"", ""coordinates"": [[172.590272396217, -43.492161447316]]}",Bishopdale,Armitage Reserve,508
5b418dfb3d88413b6ca9e010,"{""type"": ""MultiPoint"", ""coordinates"": [[172.673638578982, -43.5350983080985]]}",Linwood,Linwood Avenue School,529
5b418dfb3d88413b6ca9e01c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.739251747325, -43.5656270876331]]}",Redcliffs,Barnett Park Sports Grounds,542
5b418dfb3d88413b6ca9e01e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.730745147789, -43.5057100790656]]}",New Brighton,New Brighton Beach Playground,544
5b418dfb3d88413b6ca9e01f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.726884686498, -43.4950886707594]]}",New Brighton,North New Brighton Community Centre,545
5b418dfb3d88413b6ca9e036,"{""type"": ""MultiPoint"", ""coordinates"": [[172.63852836752, -43.53279388679999]]}",Central City,Cashel Street Carpark,575
5b418dfb3d88413b6ca9e038,"{""type"": ""MultiPoint"", ""coordinates"": [[172.630588240612, -43.5276820713848]]}",Central City,Cranmer Square,579
5b418dfb3d88413b6ca9e039,"{""type"": ""MultiPoint"", ""coordinates"": [[172.681755193861, -43.5279474537077]]}",Bromley,Bromley Park,58
5b418dfb3d88413b6ca9dff2,"{""type"": ""MultiPoint"", ""coordinates"": [[172.638609080977, -43.5354990613655]]}",Central City,Tuam Street Carpark,491
5b418dfb3d88413b6ca9e001,"{""type"": ""MultiPoint"", ""coordinates"": [[172.56537675548398, -43.5738625918114]]}",Oaklands,Balcairn Reserve,511
5b418dfb3d88413b6ca9dffd,"{""type"": ""MultiPoint"", ""coordinates"": [[172.56162879124, -43.5703481092605]]}",Westlake,Lancewood Reserve,505
5b418dfb3d88413b6ca9e015,"{""type"": ""MultiPoint"", ""coordinates"": [[172.56807735334897, -43.5216589652297]]}",Ilam,Christchurch College Of Education,533
5b418dfb3d88413b6ca9e01b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.73387553604098, -43.55686193709959]]}",Redcliffs,Redcliffs Park,541
5b418dfb3d88413b6ca9e027,"{""type"": ""MultiPoint"", ""coordinates"": [[172.615158104897, -43.5138241987528]]}",Merivale,Elmwood Normal School,557
